,country_code,country,country_freq,target
0,US,United States,6012,0.3800731869594145
1,GB,United Kingdom,2675,0.2616822429906542
2,CA,Canada,1778,0.37851518560179975
3,MY,Malaysia,259,0.3938223938223938
4,AU,Australia,256,0.14453125
5,IE,Ireland,209,0.1339712918660287
6,IN,India,162,0.2839506172839506
7,PH,Republic of the Philippines,145,0.33793103448275863
8,ZA,South Africa,126,0.2619047619047619
9,PL,Poland,94,0.2553191489361702
10,DE,Germany,84,0.19047619047619047
11,MX,Mexico,67,0.16417910447761194
12,TH,Thailand,66,0.4393939393939394
13,ID,Indonesia,61,0.5573770491803278
14,GH,Ghana,59,0.3220338983050847
15,NZ,New Zealand,59,0.15254237288135594
16,SG,Singapore,53,0.20754716981132076
17,ES,Spain,52,0.21153846153846154
18,AE,United Arab Emirates,50,0.46
19,GR,Greece,50,0.06
20,NG,Nigeria,46,0.21739130434782608
21,NL,The Netherlands,44,0.4318181818181818
22,IT,Italy,44,0.20454545454545456
23,AT,Austria,42,0.2857142857142857
24,JP,Japan,39,0.2564102564102564
25,KR,Republic of Korea,32,0.21875
26,KE,Kenya,32,0.15625
27,BB,Barbados,30,0.26666666666666666
28,PT,Portugal,29,-0.10344827586206896
29,CN,People's Republic of China,24,0.08333333333333333
30,NO,Norway,22,0.36363636363636365
31,FR,France,22,0.09090909090909091
