,country_code,country,country_freq,target
0,US,United States,3947,0.17481631618951102
1,IN,India,1355,0.211070110701107
2,GB,United Kingdom,966,0.16666666666666666
3,NG,Nigeria,425,0.34352941176470586
4,CA,Canada,236,0.1440677966101695
5,ZA,South Africa,202,0.019801980198019802
6,DE,Germany,181,0.11049723756906077
7,AU,Australia,165,0.09090909090909091
8,NL,The Netherlands,130,0.19230769230769232
9,ID,Indonesia,108,0.3055555555555556
10,PK,Pakistan,92,0.20652173913043478
11,KE,Kenya,84,0.36904761904761907
12,AE,United Arab Emirates,83,0.060240963855421686
13,GH,Ghana,57,0.40350877192982454
14,IE,Ireland,46,0.1956521739130435
15,BR,Brazil,46,0.10869565217391304
16,ES,Spain,45,0.35555555555555557
17,PH,Republic of the Philippines,45,0.28888888888888886
18,TR,Turkey,44,0.045454545454545456
19,IT,Italy,44,0.2727272727272727
20,SE,Sweden,40,0.55
21,FR,France,40,0.05
22,CH,Switzerland,35,0.14285714285714285
23,BE,Belgium,34,0.29411764705882354
24,JP,Japan,33,0.18181818181818182
25,UG,Uganda,33,0.5454545454545454
26,MY,Malaysia,29,0.3793103448275862
27,JM,Jamaica,29,0.4482758620689655
28,NZ,New Zealand,25,0.16
29,CN,People's Republic of China,21,0.14285714285714285
30,IL,Israel,21,-0.09523809523809523
31,LB,Lebanon,20,0.55
32,TH,Thailand,20,0.65
