,country_code,country,country_freq,target
0,US,United States,6159,0.2486449864498645
1,GB,United Kingdom,4229,0.1957373836354728
2,CA,Canada,2056,0.24063622370446383
3,IE,Ireland,335,-0.006024096385542169
4,ZA,South Africa,254,0.25
5,IN,India,245,0.27586206896551724
6,AU,Australia,242,0.16017316017316016
7,PH,Republic of the Philippines,187,0.38333333333333336
8,MY,Malaysia,150,0.45323741007194246
9,TH,Thailand,118,0.13636363636363635
10,DE,Germany,99,0.13829787234042554
11,KE,Kenya,89,0.2413793103448276
12,NL,The Netherlands,86,0.10588235294117647
13,PL,Poland,79,0.1095890410958904
14,IT,Italy,77,0.25
15,NG,Nigeria,76,0.25
16,ID,Indonesia,69,0.26865671641791045
17,SG,Singapore,64,0.45
18,AE,United Arab Emirates,59,0.3620689655172414
19,MX,Mexico,58,0.10526315789473684
20,ES,Spain,53,0.2857142857142857
21,JP,Japan,52,0.16
22,GR,Greece,40,0.13157894736842105
23,CH,Switzerland,35,0.20588235294117646
24,GH,Ghana,34,0.25806451612903225
25,PT,Portugal,34,-0.12903225806451613
26,AT,Austria,32,0.16129032258064516
27,CN,People's Republic of China,31,0.2903225806451613
28,FR,France,31,0.36666666666666664
29,SE,Sweden,30,0.4444444444444444
30,KR,Republic of Korea,26,0.36
31,BE,Belgium,26,0.48
32,SA,Kingdom of Saudi Arabia,24,0.17391304347826086
33,BR,Brazil,23,0.36363636363636365
34,BB,Barbados,20,0.3157894736842105
35,ZW,Zimbabwe,20,0.2631578947368421
