,country_code,country,country_freq,target
0,US,United States,7181,0.2496445834518055
1,GB,United Kingdom,2677,0.2303605313092979
2,CA,Canada,1923,0.32074468085106383
3,IN,India,379,0.152
4,IE,Ireland,364,0.1424581005586592
5,AU,Australia,309,0.27450980392156865
6,PH,Republic of the Philippines,288,0.3286219081272085
7,PL,Poland,159,0.01910828025477707
8,ZA,South Africa,148,0.1564625850340136
9,MY,Malaysia,134,0.44360902255639095
10,IT,Italy,112,0.19090909090909092
11,DE,Germany,106,0.20388349514563106
12,NL,The Netherlands,97,0.3229166666666667
13,MX,Mexico,89,0.022727272727272728
14,NG,Nigeria,77,0.09090909090909091
15,ID,Indonesia,70,0.19117647058823528
16,AE,United Arab Emirates,63,0.2857142857142857
17,ES,Spain,62,0.3114754098360656
18,FR,France,58,0.06896551724137931
19,KE,Kenya,49,0.30612244897959184
20,SG,Singapore,45,0.4
21,JP,Japan,42,0.21428571428571427
22,CN,People's Republic of China,42,0.475
23,KR,Republic of Korea,42,0.0975609756097561
24,GR,Greece,41,0.5609756097560976
25,TH,Thailand,36,0.37142857142857144
26,BE,Belgium,35,0.05714285714285714
27,AT,Austria,34,-0.4375
28,NZ,New Zealand,33,0.59375
29,SE,Sweden,32,0.03125
30,CO,Colombia,28,0.07142857142857142
31,GH,Ghana,28,0.5714285714285714
32,KW,Kuwait,27,-0.037037037037037035
33,PT,Portugal,22,0.22727272727272727
