,country_code,country,country_freq,target
0,US,United States,8006,0.23100303951367782
1,GB,United Kingdom,2207,0.13732193732193732
2,IN,India,1880,0.18741058655221746
3,CA,Canada,1113,0.2668112798264642
4,NG,Nigeria,800,0.36688311688311687
5,AU,Australia,374,0.2425249169435216
6,ZA,South Africa,372,0.17375886524822695
7,DE,Germany,272,-0.05970149253731343
8,NL,The Netherlands,235,0.05357142857142857
9,ID,Indonesia,215,0.2215909090909091
10,IT,Italy,207,-0.12138728323699421
11,IE,Ireland,181,-0.13043478260869565
12,AE,United Arab Emirates,154,0.4049586776859504
13,ES,Spain,151,-0.21238938053097345
14,MY,Malaysia,151,0.04838709677419355
15,PH,Republic of the Philippines,145,0.4528301886792453
16,JP,Japan,135,-0.43564356435643564
17,TH,Thailand,132,-0.0891089108910891
18,CH,Switzerland,121,-0.4230769230769231
19,KE,Kenya,119,0.41304347826086957
20,PL,Poland,115,-0.42857142857142855
21,FR,France,114,-0.4024390243902439
22,SE,Sweden,109,-0.6811594202898551
23,PK,Pakistan,106,0.15942028985507245
24,BR,Brazil,105,-0.75
25,IL,Israel,100,-0.2535211267605634
26,GH,Ghana,97,0.3698630136986301
27,KR,Republic of Korea,91,-0.8095238095238095
28,NZ,New Zealand,89,0.2972972972972973
29,SG,Singapore,83,0.32857142857142857
30,BE,Belgium,83,-0.23636363636363636
31,RU,Russia,77,-0.996774193548387
32,DK,Denmark,71,-0.6086956521739131
33,MX,Mexico,63,0.2553191489361702
34,CN,People's Republic of China,58,0.16279069767441862
35,IQ,Iraq,49,-0.9740740740740742
36,AT,Austria,47,0.24390243902439024
37,UG,Uganda,46,0.05555555555555555
38,BY,Republic of Belarus,45,-0.97575757575757576
39,JM,Jamaica,44,-0.02702702702702703
40,TR,Turkey,38,0.125
41,SA,Kingdom of Saudi Arabia,31,0.6071428571428571
42,TZ,Tanzania,30,0.5185185185185185
43,IR,Islamic Republic of Iran,29,-0.9909090909090908
44,NP,Nepal,27,0.6666666666666666
45,PT,Portugal,25,0.0
46,AR,Argentina,23,0.21052631578947367
47,LB,Lebanon,23,0.42105263157894735
48,KW,Kuwait,23,0.26666666666666666
49,NO,Norway,22,0.2631578947368421
50,EG,Egypt,22,-0.07692307692307693
51,LK,Sri Lanka,22,0.15384615384615385
52,QA,Qatar,21,0.0
53,FI,Finland,21,0.0
54,GR,Greece,20,0.14285714285714285
