,country_code,country,country_freq,target
0,US,United States,17564,0.34161771351107095
1,GB,United Kingdom,7584,0.4195342370524852
2,CA,Canada,3339,0.2943854324734446
3,IN,India,2468,0.27582534611288606
4,AU,Australia,1113,0.2660098522167488
5,ZA,South Africa,923,0.30919220055710306
6,NG,Nigeria,711,0.3870967741935484
7,PH,Republic of the Philippines,645,0.4125
8,IE,Ireland,426,0.49693251533742333
9,PL,Poland,254,0.15053763440860216
10,ID,Indonesia,233,0.5052631578947369
11,MX,Mexico,231,0.06818181818181818
12,IT,Italy,218,0.27058823529411763
13,MY,Malaysia,196,0.34782608695652173
14,AE,United Arab Emirates,185,0.5
15,KE,Kenya,183,0.19718309859154928
16,DE,Germany,178,0.46153846153846156
17,SG,Singapore,176,0.4931506849315068
18,ES,Spain,158,0.5666666666666667
19,GH,Ghana,145,0.40384615384615385
20,TH,Thailand,139,0.34545454545454546
21,NL,The Netherlands,128,0.3695652173913043
22,FR,France,124,0.358974358974359
23,JP,Japan,108,0.18604651162790697
24,BR,Brazil,77,0.125
25,BD,Bangladesh,74,0.25
26,PK,Pakistan,72,0.46153846153846156
27,HK,Hong Kong,67,0.8947368421052632
28,GR,Greece,65,0.2608695652173913
29,UG,Uganda,65,0.5
30,JM,Jamaica,64,0.5882352941176471
31,CN,People's Republic of China,62,0.43478260869565216
32,QA,Qatar,61,0.2777777777777778
33,BE,Belgium,57,0.09523809523809523
34,CH,Switzerland,52,0.25
35,NZ,New Zealand,52,0.1
36,NP,Nepal,45,0.47058823529411764
37,PT,Portugal,40,0.4
38,AR,Argentina,38,0.3333333333333333
39,AT,Austria,35,0.06666666666666667
40,CL,Chile,35,0.375
41,CO,Colombia,35,0.07692307692307693
42,KR,Republic of Korea,34,0.6428571428571429
43,SA,Kingdom of Saudi Arabia,34,0.2727272727272727
44,BS,Bahamas,33,0.07142857142857142
45,KW,Kuwait,30,0.4166666666666667
46,SE,Sweden,29,0.9166666666666666
47,VN,Vietnam,28,0.7142857142857143
48,TR,Turkey,26,0.2
49,DK,Denmark,26,0.8888888888888888
50,BM,Bermuda,26,-0.09090909090909091
51,RO,Romania,24,0.2222222222222222
52,HR,Republic of Croatia,24,0.3333333333333333
53,TT,Trinidad and Tobago,23,0.5454545454545454
54,RU,Russia,21,0.5
55,TZ,Tanzania,21,0.375
56,KH,Cambodia,21,0.75
57,DO,Dominican Republic,20,0.2
58,LK,Sri Lanka,20,0.7
