,country_code,country,country_freq,target
0,US,United States,14258,0.33438959306204136
1,GB,United Kingdom,6597,0.31909636427815036
2,CA,Canada,3652,0.3370712401055409
3,IN,India,2322,0.3154084798345398
4,NG,Nigeria,786,0.525
5,ZA,South Africa,753,0.21604938271604937
6,AU,Australia,732,0.40728476821192056
7,PH,Republic of the Philippines,626,0.36298932384341637
8,IE,Ireland,391,0.3048780487804878
9,ID,Indonesia,347,0.40441176470588236
10,ES,Spain,312,0.4108527131782946
11,MY,Malaysia,288,0.35772357723577236
12,PL,Poland,255,0.11702127659574468
13,SG,Singapore,252,0.3305785123966942
14,AE,United Arab Emirates,235,0.39823008849557523
15,IT,Italy,226,0.2
16,DE,Germany,215,0.17777777777777778
17,MX,Mexico,200,0.06666666666666667
18,NL,The Netherlands,172,0.4393939393939394
19,TH,Thailand,153,0.38095238095238093
20,KE,Kenya,134,0.30357142857142855
21,FR,France,123,0.3333333333333333
22,PK,Pakistan,113,0.5135135135135135
23,JP,Japan,112,0.11428571428571428
24,GH,Ghana,108,0.018867924528301886
25,NZ,New Zealand,101,0.38461538461538464
26,NP,Nepal,94,0.15625
27,AR,Argentina,76,0.3225806451612903
28,BR,Brazil,76,0.38461538461538464
29,CN,People's Republic of China,73,0.2222222222222222
30,BE,Belgium,71,0.4375
31,AT,Austria,70,0.08108108108108109
32,UG,Uganda,70,0.16129032258064516
33,JM,Jamaica,68,0.6551724137931034
34,QA,Qatar,67,0.23076923076923078
35,CH,Switzerland,56,0.4642857142857143
36,GR,Greece,54,0.4642857142857143
37,BD,Bangladesh,53,0.23809523809523808
38,SA,Kingdom of Saudi Arabia,52,-0.17647058823529413
39,TR,Turkey,43,0.3684210526315789
40,CO,Colombia,42,0.42857142857142855
41,SE,Sweden,42,0.6923076923076923
42,KR,Republic of Korea,39,0.2631578947368421
43,TT,Trinidad and Tobago,39,0.9333333333333333
44,MA,Morocco,38,0.7647058823529411
45,KW,Kuwait,38,0.19047619047619047
46,RU,Russia,32,0.5
47,CL,Chile,31,0.17647058823529413
48,IL,Israel,30,0.3333333333333333
49,BM,Bermuda,29,0.0
50,TZ,Tanzania,28,0.4166666666666667
51,PT,Portugal,27,0.35714285714285715
52,HK,Hong Kong,22,0.8333333333333334
53,BH,Bahrain,22,0.6
54,PE,Peru,21,0.3333333333333333
55,EG,Egypt,21,0.0
56,BS,Bahamas,21,0.09090909090909091
57,VE,Venezuela,20,0.18181818181818182
