date,date,total_num,pos_num,neg_num,neu_num,pos_density,neg_density,neu_density
2020-03-19,2020-03-19,164,85,27,52,0.5182926829268293,0.16463414634146342,0.3170731707317073
2020-03-20,2020-03-20,906,402,166,338,0.44370860927152317,0.18322295805739514,0.3730684326710817
2020-03-21,2020-03-21,955,434,134,387,0.4544502617801047,0.14031413612565444,0.40523560209424087
2020-03-22,2020-03-22,988,473,137,378,0.47874493927125505,0.13866396761133604,0.3825910931174089
2020-03-23,2020-03-23,886,445,141,300,0.5022573363431151,0.15914221218961624,0.33860045146726864
2020-03-24,2020-03-24,868,420,130,318,0.4838709677419355,0.1497695852534562,0.3663594470046083
2020-03-25,2020-03-25,854,418,111,325,0.4894613583138173,0.12997658079625293,0.3805620608899297
2020-03-26,2020-03-26,769,350,113,306,0.45513654096228867,0.1469440832249675,0.39791937581274384
2020-03-27,2020-03-27,713,362,98,253,0.5077138849929874,0.13744740532959326,0.3548387096774194
2020-03-28,2020-03-28,751,352,115,284,0.46870838881491345,0.15312916111850866,0.3781624500665779
2020-03-29,2020-03-29,214,107,28,79,0.5,0.1308411214953271,0.3691588785046729
2020-03-30,2020-03-30,435,221,56,158,0.5080459770114942,0.12873563218390804,0.3632183908045977
2020-03-31,2020-03-31,523,260,61,202,0.497131931166348,0.11663479923518165,0.3862332695984704
2020-04-01,2020-04-01,394,188,56,150,0.47715736040609136,0.14213197969543148,0.38071065989847713
2020-04-02,2020-04-02,411,209,59,143,0.5085158150851582,0.1435523114355231,0.34793187347931875
2020-04-03,2020-04-03,401,194,52,155,0.4837905236907731,0.12967581047381546,0.3865336658354115
2020-04-04,2020-04-04,444,184,72,188,0.4144144144144144,0.16216216216216217,0.42342342342342343
2020-04-05,2020-04-05,523,217,80,226,0.4149139579349904,0.15296367112810708,0.4321223709369025
2020-04-06,2020-04-06,290,109,59,122,0.3758620689655172,0.20344827586206896,0.4206896551724138
2020-04-07,2020-04-07,386,166,81,139,0.43005181347150256,0.20984455958549222,0.3601036269430052
2020-04-08,2020-04-08,273,134,48,91,0.4908424908424908,0.17582417582417584,0.3333333333333333
2020-04-09,2020-04-09,347,149,74,124,0.42939481268011526,0.2132564841498559,0.3573487031700288
2020-04-10,2020-04-10,325,128,65,132,0.39384615384615385,0.2,0.40615384615384614
2020-04-11,2020-04-11,338,119,98,121,0.3520710059171598,0.28994082840236685,0.35798816568047337
2020-04-12,2020-04-12,333,135,89,109,0.40540540540540543,0.2672672672672673,0.32732732732732733
2020-04-13,2020-04-13,189,69,74,46,0.36507936507936506,0.3915343915343915,0.24338624338624337
2020-04-14,2020-04-14,132,49,35,48,0.3712121212121212,0.26515151515151514,0.36363636363636365
2020-04-15,2020-04-15,145,60,27,58,0.41379310344827586,0.18620689655172415,0.4
2020-04-16,2020-04-16,212,87,54,71,0.41037735849056606,0.25471698113207547,0.33490566037735847
2020-04-17,2020-04-17,229,90,50,89,0.3930131004366812,0.2183406113537118,0.388646288209607
2020-04-18,2020-04-18,566,269,79,218,0.4752650176678445,0.13957597173144876,0.38515901060070673
2020-04-19,2020-04-19,693,349,95,249,0.5036075036075036,0.1370851370851371,0.3593073593073593
2020-04-20,2020-04-20,567,274,83,210,0.48324514991181655,0.14638447971781304,0.37037037037037035
2020-04-21,2020-04-21,613,313,100,200,0.5106035889070146,0.1631321370309951,0.3262642740619902
2020-04-22,2020-04-22,597,297,93,207,0.49748743718592964,0.15577889447236182,0.34673366834170855
2020-04-23,2020-04-23,560,282,70,208,0.5035714285714286,0.125,0.37142857142857144
2020-04-24,2020-04-24,507,247,78,182,0.48717948717948717,0.15384615384615385,0.358974358974359
2020-04-25,2020-04-25,539,293,59,187,0.5435992578849722,0.10946196660482375,0.3469387755102041
2020-04-26,2020-04-26,653,324,87,242,0.49617151607963245,0.1332312404287902,0.37059724349157736
2020-04-27,2020-04-27,577,275,70,232,0.47660311958405543,0.12131715771230503,0.4020797227036395
2020-04-28,2020-04-28,1084,557,140,387,0.5138376383763837,0.12915129151291513,0.3570110701107011
